#chrom	start	end	strand	gene	gene_id	transcripts
chr1	11873	14409	+	DDX11L1	DDX11L1	1
chr1	14361	29370	-	WASH7P	WASH7P	1
chr1	17368	17436	-	MIR6859-1	MIR6859-1	1
chr1	29773	35418	+	MIR1302-2HG	MIR1302-2HG	1
chr1	30365	30503	+	MIR1302-2	MIR1302-2	1
chr1	34610	36081	-	FAM138A	FAM138A	1
chr1	52452	53396	+	OR4G4P	OR4G4P	1
chr1	63015	63885	+	OR4G11P	OR4G11P	1
chr1	65418	71585	+	OR4F5	OR4F5	1
chr1	95221	107727	+	LOC124903816	LOC124903816	2
chr1	120848	175246	-	LOC124900384	LOC124900384	13
chr1	126641	129225	-	SEPTIN14P18	SEPTIN14P18	1
chr1	131067	134836	+	CICP27	CICP27	1
chr1	134772	140566	-	LOC729737	LOC729737	1
chr1	157783	157887	-	RNU6-1100P	RNU6-1100P	1
chr1	164688	164792	+	GTF2IP10	GTF2IP10	1
chr1	177307	180105	-	LOC124903814	LOC124903814	3
chr1	182387	184878	+	DDX11L17	DDX11L17	1
chr1	184915	200117	-	LOC100996442	LOC100996442	1
chr1	258510	259036	-	RPL23AP21	RPL23AP21	1
chr1	273222	284291	+	LOC124903815	LOC124903815	2
chr1	347968	348441	-	RPL23AP24	RPL23AP24	1
chr1	350705	358545	-	LOC124900618	LOC124900618	1
chr1	365133	382235	-	LOC112268260	LOC112268260	1
chr1	439763	440270	+	WBP1LP7	WBP1LP7	1
chr1	450739	451678	-	OR4F29	OR4F29	1
chr1	484832	485210	-	SEPTIN14P13	SEPTIN14P13	1
chr1	487054	490819	+	CICP7	CICP7	1
chr1	490755	495445	-	LOC100132287	LOC100132287	1
chr1	516375	516479	-	LOC124904706	LOC124904706	1
chr1	586286	611297	-	LOC105378947	LOC105378947	1
chr1	627379	629009	-	LOC101928626	LOC101928626	1
chr1	629061	629440	+	MTND1P23	MTND1P23	1
chr1	629639	630686	+	MTND2P28	MTND2P28	1
chr1	631073	632616	+	MTCO1P12	MTCO1P12	1
chr1	632614	632685	-	MIR12136	MIR12136	1
chr1	632756	633438	+	MTCO2P12	MTCO2P12	1
chr1	633534	633741	+	MTATP8P1	MTATP8P1	1
chr1	633695	634376	+	MTATP6P1	MTATP6P1	1
chr1	634375	634922	+	MTCO3P12	MTCO3P12	1
chr1	674742	675246	+	WBP1LP6	WBP1LP6	1
chr1	676075	720101	-	OR4F16	OR4F16	5
chr1	717620	720202	-	SEPTIN14P14	SEPTIN14P14	1
chr1	722045	725822	+	CICP3	CICP3	1
chr1	725758	778634	-	LOC100288069	LOC100288069	1
chr1	758232	758336	-	RNU6-1199P	RNU6-1199P	1
chr1	778757	787675	+	LINC01409	LINC01409	2
chr1	791597	799081	+	LOC124903817	LOC124903817	1
chr1	817370	819834	+	FAM87B	FAM87B	1
chr1	826205	827522	-	LINC00115	LINC00115	1
chr1	827590	859446	+	LINC01128	LINC01128	6
chr1	860181	868202	+	LOC107984850	LOC107984850	2
chr1	868070	876802	-	FAM41C	FAM41C	1
chr1	873290	874514	+	TUBB8P11	TUBB8P11	1
chr1	904810	921019	+	LOC284600	LOC284600	8
chr1	916817	919692	-	LINC02593	LINC02593	2
chr1	920242	925604	-	LOC107985728	LOC107985728	1
chr1	923922	944574	+	SAMD11	SAMD11	3
chr1	944202	959256	-	NOC2L	NOC2L	1
chr1	960583	965719	+	KLHL17	KLHL17	6
chr1	966481	975865	+	PLEKHN1	PLEKHN1	10
chr1	975197	982093	-	PERM1	PERM1	5
chr1	998963	1000097	-	HES4	HES4	5
chr1	1008059	1008290	-	RPL39P12	RPL39P12	1
chr1	1013496	1014540	+	ISG15	ISG15	1
chr1	1020119	1056116	+	AGRN	AGRN	8
chr1	1059733	1066453	+	LOC100288175	LOC100288175	1
chr1	1065634	1069337	-	LOC105378948	LOC105378948	2
chr1	1070966	1074306	-	RNF223	RNF223	1
chr1	1081822	1116089	-	C1orf159	C1orf159	3
chr1	1122902	1128984	-	LOC124903819	LOC124903819	1
chr1	1128683	1161940	+	LOC124903820	LOC124903820	2
chr1	1137016	1144056	+	LINC01342	LINC01342	1
chr1	1162876	1170338	+	LOC124903818	LOC124903818	1
chr1	1167103	1167198	+	MIR200B	MIR200B	1
chr1	1167862	1167952	+	MIR200A	MIR200A	1
chr1	1169004	1169087	+	MIR429	MIR429	1
chr1	1173055	1179555	-	TTLL10-AS1	TTLL10-AS1	1
chr1	1173879	1197936	+	TTLL10	TTLL10	15
chr1	1203507	1206592	-	TNFRSF18	TNFRSF18	4
chr1	1211339	1214153	-	TNFRSF4	TNFRSF4	6
chr1	1216930	1232001	-	SDF4	SDF4	5
chr1	1232236	1235041	+	B3GALT6	B3GALT6	1
chr1	1242452	1247280	-	C1QTNF12	C1QTNF12	6
chr1	1253911	1273854	-	UBE2J2	UBE2J2	14
chr1	1280435	1292025	+	SCNN1D	SCNN1D	2
